x,y,z
-50,-50,7500.25
-50,-49,7350.41
-50,-48,7203.68
-50,-47,7058.32
-50,-46,6916.22
-50,-45,6776.02
-50,-44,6636.54
-50,-43,6498.25
-50,-42,6365.19
-50,-41,6231.29
-50,-40,6099.98
-50,-39,5971.98
-50,-38,5846.03
-50,-37,5718.51
-50,-36,5596.1
-50,-35,5475.02
-50,-34,5357.8
-50,-33,5239.38
-50,-32,5124.25
-50,-31,5011.48
-50,-30,4900.42
-50,-29,4791.85
-50,-28,4684.51
-50,-27,4579.76
-50,-26,4475.81
-50,-25,4375.35
-50,-24,4277.61
-50,-23,4177.09
-50,-22,4083.35
-50,-21,3991.56
-50,-20,3900.98
-50,-19,3811.98
-50,-18,3722.58
-50,-17,3639.41
-50,-16,3555.61
-50,-15,3475.1
-50,-14,3396.95
-50,-13,3317.99
-50,-12,3244.0
-50,-11,3171.77
-50,-10,3099.33
-50,-9,3030.53
-50,-8,2963.36
-50,-7,2900.6
-50,-6,2834.67
-50,-5,2773.96
-50,-4,2719.07
-50,-3,2659.19
-50,-2,2604.93
-50,-1,2551.31
-50,0,2501.97
-50,1,2451.29
-50,2,2404.62
-50,3,2358.93
-50,4,2315.37
-50,5,2276.84
-50,6,2235.97
-50,7,2199.23
-50,8,2165.18
-50,9,2131.37
-50,10,2098.52
-50,11,2069.17
-50,12,2044.52
-50,13,2018.79
-50,14,1995.61
-50,15,1975.2
-50,16,1956.21
-50,17,1939.51
-50,18,1923.8
-50,19,1911.87
-50,20,1899.73
-50,21,1889.99
-50,22,1884.08
-50,23,1880.73
-50,24,1875.8
-50,25,1876.14
-50,26,1876.07
-50,27,1880.38
-50,28,1885.0
-50,29,1890.2
-50,30,1900.25
-50,31,1911.44
-50,32,1923.66
-50,33,1938.94
-50,34,1955.49
-50,35,1974.98
-50,36,1997.08
-50,37,2018.37
-50,38,2043.98
-50,39,2069.93
-50,40,2100.75
-50,41,2132.68
-50,42,2163.75
-50,43,2198.31
-50,44,2236.23
-50,45,2276.03
-50,46,2316.96
-50,47,2360.2
-50,48,2403.69
-50,49,2450.53
-50,50,2499.81
-49,-50,7351.79
-49,-49,7203.28
-49,-48,7056.4
-49,-47,6914.37
-49,-46,6771.85
-49,-45,6633.41
-49,-44,6492.25
-49,-43,6356.53
-49,-42,6221.52
-49,-41,6092.36
-49,-40,5960.06
-49,-39,5833.87
-49,-38,5707.79
-49,-37,5584.17
-49,-36,5461.79
-49,-35,5340.1
-49,-34,5222.16
-49,-33,5105.1
-49,-32,4993.36
-49,-31,4881.18
-49,-30,4769.59
-49,-29,4663.46
-49,-28,4557.07
-49,-27,4455.23
-49,-26,4350.39
-49,-25,4252.28
-49,-24,4152.92
-49,-23,4057.12
-49,-22,3963.1
-49,-21,3870.71
-49,-20,3779.52
-49,-19,3692.65
-49,-18,3607.68
-49,-17,3524.66
-49,-16,3441.94
-49,-15,3361.76
-49,-14,3282.48
-49,-13,3207.51
-49,-12,3135.33
-49,-11,3060.71
-49,-10,2992.61
-49,-9,2923.42
-49,-8,2858.49
-49,-7,2791.58
-49,-6,2730.04
-49,-5,2671.62
-49,-4,2612.18
-49,-3,2556.24
-49,-2,2503.59
-49,-1,2450.13
-49,0,2400.38
-49,1,2353.34
-49,2,2306.91
-49,3,2262.5
-49,4,2221.81
-49,5,2180.49
-49,6,2143.69
-49,7,2107.48
-49,8,2074.61
-49,9,2041.19
-49,10,2008.54
-49,11,1982.57
-49,12,1957.11
-49,13,1933.37
-49,14,1910.99
-49,15,1891.47
-49,16,1872.25
-49,17,1857.16
-49,18,1842.76
-49,19,1831.22
-49,20,1822.86
-49,21,1810.99
-49,22,1806.94
-49,23,1803.44
-49,24,1799.74
-49,25,1800.5
-49,26,1801.15
-49,27,1808.23
-49,28,1814.45
-49,29,1821.56
-49,30,1830.35
-49,31,1841.63
-49,32,1856.48
-49,33,1875.32
-49,34,1892.39
-49,35,1911.54
-49,36,1933.99
-49,37,1956.53
-49,38,1983.26
-49,39,2012.7
-49,40,2040.21
-49,41,2072.49
-49,42,2105.83
-49,43,2144.33
-49,44,2180.73
-49,45,2222.08
-49,46,2262.35
-49,47,2306.58
-49,48,2352.19
-49,49,2400.6
-49,50,2452.87
-48,-50,7203.53
-48,-49,7056.03
-48,-48,6912.21
-48,-47,6769.73
-48,-46,6627.67
-48,-45,6487.98
-48,-44,6353.37
-48,-43,6217.12
-48,-42,6083.13
-48,-41,5953.59
-48,-40,5824.03
-48,-39,5696.95
-48,-38,5572.85
-48,-37,5448.54
